title,rating
Toy Story (1995),4.0
Jumanji (1995),3.0
Grumpier Old Men (1995),2.5
Waiting to Exhale (1995),2.0
Father of the Bride Part II (1995),2.5
Heat (1995),4.5
Sabrina (1995),2.5
Tom and Huck (1995),3.0
Sudden Death (1995),3.0
GoldenEye (1995),4.0
"American President, The (1995)",2.5
Dracula: Dead and Loving It (1995),2.0
Balto (1995),3.5
Nixon (1995),4.0
Cutthroat Island (1995),3.0
Casino (1995),4.0
Sense and Sensibility (1995),4.0
Four Rooms (1995),4.0
Ace Ventura: When Nature Calls (1995),2.0
Money Train (1995),2.0
Get Shorty (1995),4.0
Copycat (1995),3.5
Assassins (1995),3.0
Powder (1995),2.0
Leaving Las Vegas (1995),3.5
Othello (1995),2.5
Now and Then (1995),3.0
Persuasion (1995),4.0
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0
Dangerous Minds (1995),2.5
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0
Babe (1995),4.0
Dead Man Walking (1995),4.0
It Takes Two (1995),1.5
Clueless (1995),3.5
"Cry, the Beloved Country (1995)",4.5
Richard III (1995),3.0
Dead Presidents (1995),3.0
Restoration (1995),3.5
Mortal Kombat (1995),1.0
To Die For (1995),4.0
How to Make an American Quilt (1995),4.0
Seven (a.k.a. Se7en) (1995),4.5
Pocahontas (1995),2.0
When Night Is Falling (1995),3.0
"Usual Suspects, The (1995)",4.0
Mighty Aphrodite (1995),2.5
Lamerica (1994),5.0
"Big Green, The (1995)",2.0
Georgia (1995),4.0
Home for the Holidays (1995),2.5
"Postman, The (Postino, Il) (1994)",4.0
"Indian in the Cupboard, The (1995)",3.5
Eye for an Eye (1996),3.0
Mr. Holland's Opus (1995),3.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.0
Two if by Sea (1996),2.5
Bio-Dome (1996),2.0
Lawnmower Man 2: Beyond Cyberspace (1996),2.5
French Twist (Gazon maudit) (1995),4.0
Friday (1995),3.0
From Dusk Till Dawn (1996),4.0
Fair Game (1995),2.0
Kicking and Screaming (1995),2.5
"Misérables, Les (1995)",3.5
Bed of Roses (1996),4.0
Big Bully (1996),1.5
Screamers (1995),3.0
Nico Icon (1995),4.0
"Crossing Guard, The (1995)",3.5
"Juror, The (1996)",3.0
"White Balloon, The (Badkonake sefid) (1995)",4.0
Things to Do in Denver When You're Dead (1995),2.5
Antonia's Line (Antonia) (1995),3.0
Once Upon a Time... When We Were Colored (1995),3.0
Angels and Insects (1995),4.0
White Squall (1996),4.0
Dunston Checks In (1996),1.0
Black Sheep (1996),2.0
Nick of Time (1995),3.0
Mary Reilly (1996),3.5
